"Date";"Time";"Action";"ID";"Name";"Temp";"PAR";"F(I)/Fo calc";"F(I)";"Fo,Fo'";"Fm,Fm'";"FMTm";"F";"Y(II)";"Y(4S)";"k/ocs";"ETR(II)";"Y(NO)";"Y(NPQ)";"NPQ";"qN";"qP";"qL";"F/Fm";"Fm'/Fm";"P700ox";"P700m,P700m'";"Y(I)";"Y(ND)";"Y(NA)";"ETR(I)";
25.09.24;10:04:36;New Report;NR;MR1;;;;;;;;;;;;;;;;;;;;;;;;;;;
25.09.24;10:33:57;P700-Cal.;SK;S_240925_103357; 0.0;0;;;;;;;;;;;;;;;;;;;;;;;;;
25.09.24;10:34:07;LC-Start;LCB;LC1;;;;;;;;;;;;;;;;;;;;;;;;;;;
25.09.24;10:34:07;Manual;SK;S_240925_103407; 0.0;0;;;;;;;;;;;;;;;;;;;;;;;;;
25.09.24;10:34:08;Fo-Det.;Fo;; 0.0;0;;0.0000;0.2642;;;;;;;;;;;;;;;;;;;;;;
25.09.24;10:34:09;Fm-Det.;SP;F_240925_103409_0; 0.0;0;;0.0000;0.2642;0.5848;;0.2942;0.548;;;0.000;0.503;0.000;0.000;0.000;0.906;0.814;0.503;1.000;0.322;1.020;;;;;
25.09.24;10:34:16;Pm.-Det.;SP;F_240925_103416_0; 0.0;0;;0.0000;0.2642;0.5663;;0.2910;0.486;;;0.000;0.491;0.023;0.033;0.058;0.911;0.827;0.498;0.968;0.699;1.306;0.465;0.535;0.000;0.000;
25.09.24;10:34:50;P.+F. SP;SP;F_240925_103450_0; 0.0;40;;0.0000;0.2642;0.4120;;0.2711;0.342;;;5.746;0.393;0.265;0.420;0.539;0.953;0.929;0.464;0.704;0.087;1.111;0.783;0.067;0.150;13.162;
25.09.24;10:35:20;P.+F. SP;SP;F_240925_103520_0; 0.0;49;;0.0000;0.2642;0.4080;;0.2710;0.336;;;6.912;0.391;0.274;0.433;0.551;0.953;0.929;0.463;0.698;0.026;1.049;0.783;0.020;0.197;16.115;
25.09.24;10:35:50;P.+F. SP;SP;F_240925_103550_0; 0.0;62;;0.0000;0.2642;0.4191;;0.2759;0.342;;;8.897;0.405;0.253;0.395;0.517;0.924;0.885;0.472;0.717;0.078;1.065;0.756;0.059;0.185;19.681;
25.09.24;10:36:20;P.+F. SP;SP;F_240925_103620_0; 0.0;86;;0.0000;0.2642;0.4214;;0.2782;0.340;;;12.273;0.410;0.250;0.388;0.510;0.910;0.864;0.476;0.721;0.078;1.071;0.760;0.060;0.180;27.449;
25.09.24;10:36:50;P.+F. SP;SP;F_240925_103650_0; 0.0;112;;0.0000;0.2642;0.4205;;0.2803;0.333;;;15.680;0.414;0.253;0.391;0.513;0.897;0.845;0.479;0.719;0.112;1.096;0.754;0.086;0.161;35.448;
25.09.24;10:37:20;P.+F. SP;SP;F_240925_103720_0; 0.0;141;;0.0000;0.2642;0.4202;;0.2823;0.328;;;19.435;0.417;0.254;0.392;0.513;0.884;0.827;0.483;0.718;0.143;1.051;0.695;0.110;0.195;41.141;
25.09.24;10:38:10;P.+F. SP;SP;F_240925_103810_0; 0.0;183;;0.0000;0.2642;0.4242;;0.2879;0.321;;;24.705;0.430;0.249;0.379;0.501;0.852;0.782;0.492;0.725;0.210;1.099;0.680;0.161;0.159;52.271;
25.09.24;10:39:00;P.+F. SP;SP;F_240925_103900_0; 0.0;237;;0.0000;0.2642;0.4167;;0.2903;0.303;;;30.203;0.431;0.265;0.403;0.524;0.829;0.754;0.496;0.713;0.210;1.098;0.680;0.161;0.159;67.716;
25.09.24;10:39:50;P.+F. SP;SP;F_240925_103950_0; 0.0;306;;0.0000;0.2642;0.4016;;0.2919;0.273;;;35.097;0.429;0.298;0.456;0.571;0.798;0.722;0.499;0.687;0.307;1.142;0.640;0.235;0.126;82.212;
25.09.24;10:40:40;P.+F. SP;SP;F_240925_104040_0; 0.0;391;;0.0000;0.2642;0.3810;;0.2903;0.238;;;39.086;0.418;0.344;0.535;0.636;0.776;0.706;0.496;0.651;0.340;1.116;0.594;0.260;0.146;97.526;
25.09.24;10:41:30;P.+F. SP;SP;F_240925_104130_0; 0.0;489;;0.0000;0.2642;0.3633;;0.2896;0.203;;;41.686;0.411;0.386;0.610;0.691;0.744;0.678;0.495;0.621;0.446;1.144;0.534;0.342;0.125;109.656;
25.09.24;10:42:20;P.+F. SP;SP;F_240925_104220_0; 0.0;603;;0.0000;0.2642;0.3501;;0.2901;0.172;;;43.466;0.409;0.419;0.670;0.732;0.699;0.636;0.496;0.599;0.529;1.162;0.485;0.405;0.111;122.743;
25.09.24;10:43:10;P.+F. SP;SP;F_240925_104310_0; 0.0;756;;0.0000;0.2642;0.3376;;0.2911;0.138;;;43.750;0.412;0.451;0.732;0.771;0.633;0.575;0.498;0.577;0.595;1.151;0.426;0.455;0.119;135.189;
25.09.24;10:44:00;P.+F. SP;SP;F_240925_104400_0; 0.0;928;;0.0000;0.2642;0.3291;;0.2929;0.110;;;42.898;0.419;0.471;0.777;0.797;0.558;0.503;0.501;0.563;0.716;1.184;0.358;0.548;0.093;139.631;
25.09.24;10:44:50;P.+F. SP;SP;F_240925_104450_0; 0.0;1144;;0.0000;0.2642;0.3196;;0.2918;0.087;;;41.740;0.420;0.493;0.830;0.827;0.501;0.453;0.499;0.546;0.777;1.196;0.321;0.595;0.085;154.138;
25.09.24;10:45:40;P.+F. SP;SP;F_240925_104540_0; 0.0;1420;;0.0000;0.2642;0.3127;;0.2923;0.065;;;39.012;0.429;0.506;0.870;0.849;0.421;0.381;0.500;0.535;0.836;1.167;0.253;0.640;0.107;150.782;
25.09.24;10:47:40;P.+F. SP;SP;F_240925_104740_0; 0.0;34;;0.0000;0.2642;0.5235;;0.3106;0.407;;;5.808;0.509;0.084;0.117;0.191;0.821;0.698;0.531;0.895;0.044;1.056;0.775;0.034;0.192;11.064;
25.09.24;10:47:44;LC-Stop;LCE;LC1;;;;;;;;;;;;;;;;;;;;;;;;;;;
