par;yield_1;yield_2
0;0.465;0.548
40;0.783;0.342
49;0.783;0.336
62;0.756;0.342
86;0.76;0.34
112;0.754;0.333
141;0.695;0.328
183;0.68;0.321
237;0.68;0.303
306;0.64;0.273
391;0.594;0.238
489;0.534;0.203
603;0.485;0.172
756;0.426;0.138
928;0.358;0.11
1144;0.321;0.087
1420;0.253;0.065
